family,model,round,fold,MAE,RMSE,MedAE,R2,Pearson,Spearman
KenyonCells,LinearRegression,1,2,4.139664393731708,6.014160117959669,3.076926808572667,0.6315519623466475,0.7962602760854691,0.7212523497129611
KenyonCells,LinearRegression,1,3,4.230402871956959,6.24736657792399,2.9006747320425674,0.5862873213270403,0.7663731740635634,0.6846308179151115
KenyonCells,LinearRegression,1,4,4.338170005118725,6.495444952589366,2.928342428285717,0.5470496492020474,0.7423782100774591,0.6488833074494669
KenyonCells,LinearRegression,2,0,4.295657061740332,6.348121968765611,2.76924728863999,0.5897478831913151,0.7692397678760422,0.7325582832141054
KenyonCells,LinearRegression,2,1,4.507763355448201,6.52959964190496,3.4484627447001923,0.5659664588444111,0.7524719381538905,0.6666043568861466
KenyonCells,LinearRegression,2,2,4.332314151634185,6.469246792597962,3.01494829635023,0.5736819571566674,0.758012788271699,0.7085423700513906
KenyonCells,LinearRegression,2,3,3.966265552649844,5.809202281107334,2.9159089203462436,0.642284425491692,0.8019089052229943,0.6955647277208142
KenyonCells,LinearRegression,2,4,4.36632902803682,6.723938789591353,3.078478853591733,0.5146217743985746,0.7323503254981483,0.7341346601859291
KenyonCells,LinearRegression,3,0,4.5404051190679375,6.320143609737031,3.457854203706759,0.5933561588120273,0.7712823772945266,0.6653688137374516
KenyonCells,LinearRegression,3,1,4.16556752227903,6.376182867233865,2.74141976694888,0.5861225992580283,0.7662472830731201,0.6796109896616541
KenyonCells,LinearRegression,3,2,4.3685874433045315,6.482002219806583,3.3608306538689092,0.5719991554747309,0.756659421012149,0.6889599159471613
KenyonCells,LinearRegression,3,3,4.195570105995784,6.1010998127022775,2.9086841742661846,0.6054326810891446,0.7796823976674431,0.7339294625778807
KenyonCells,LinearRegression,3,4,4.15359908306629,6.194810118226983,2.9058118415229757,0.5880079979119284,0.7668662688162348,0.7199300537257979
KenyonCells,LinearRegression,4,0,4.1710148801855205,6.210733564907898,3.1369834941517496,0.6073133804435124,0.7803030909836239,0.7538069571309377
KenyonCells,LinearRegression,4,1,4.46106595716649,6.928084047053346,2.8415246041635704,0.5113741036196705,0.7232089835091438,0.6887558607678578
KenyonCells,LinearRegression,4,2,4.563712742886042,6.801412395999665,3.343408086785182,0.5287791565270222,0.7315263943770136,0.6889783733393164
KenyonCells,LinearRegression,4,3,4.1143694666144865,5.9317081567943495,2.8521695035796704,0.6270381576518933,0.7923505920100171,0.7069670341261376
KenyonCells,LinearRegression,4,4,4.090689424024997,6.1123300851852544,3.0101759188670165,0.5989057961113272,0.7741096162378462,0.6905938517508914
KenyonCells,ElasticNet,0,0,4.2289648474681085,6.128050446445101,3.017928245328113,0.617699409082997,0.786754330636382,0.7310554332188093
KenyonCells,ElasticNet,0,1,4.045608239207304,6.28599986299766,2.6158549655048446,0.5977473449335984,0.7735993574757365,0.698115299292177
KenyonCells,ElasticNet,0,2,4.145431283305506,6.016753084228927,3.0946819083997483,0.6312341858769872,0.7953057211785197,0.75961081186418
KenyonCells,ElasticNet,0,3,4.321941812232937,6.575984471595421,3.2339934381397546,0.5416192099854588,0.7366456161462911,0.7330807617210927
KenyonCells,ElasticNet,0,4,4.059334754341019,6.06975232187959,2.8945241600027014,0.6044742825143528,0.7815583699991888,0.6842072557976666
KenyonCells,ElasticNet,1,0,4.092618811336315,6.101191957370658,2.982477604536429,0.6210432178879771,0.7896781259737551,0.7602055086181897
KenyonCells,ElasticNet,1,1,4.128525953872849,6.425640678377543,2.807828895848863,0.5796770947935095,0.7615141697158951,0.7289113397259962
KenyonCells,ElasticNet,1,2,4.014587168954808,5.941184400007257,3.013986318509013,0.6404391990470191,0.8003122135007623,0.7336677209997474
KenyonCells,ElasticNet,1,3,4.091451787401851,6.163068806462584,2.783893134094943,0.5973767191079216,0.7737144918102696,0.7054311350403918
KenyonCells,ElasticNet,1,4,4.252110266954534,6.370180084530163,2.830311105443684,0.564351515929628,0.7516129905144533,0.6630228791434288
KenyonCells,ElasticNet,2,0,4.137683061371603,6.2524921758298735,2.7557844087932986,0.6020150772053042,0.7769869432660577,0.7547749327001158
KenyonCells,ElasticNet,2,1,4.390180754744944,6.468213928532882,3.5178751044453183,0.5740889228533164,0.7597851216687626,0.6790182826721424
KenyonCells,ElasticNet,2,2,4.191293058267187,6.4536214362919875,2.8806305283841116,0.5757388663556264,0.7675570120458889,0.7429887040380915
KenyonCells,ElasticNet,2,3,3.8717856937935706,5.77745856064196,2.797609989978204,0.6461831358471088,0.8060163915358898,0.7088760913350759
KenyonCells,ElasticNet,2,4,4.249265979843755,6.533129419904552,2.9892776776413577,0.5417786607545807,0.7436732514673943,0.7410087245213376
KenyonCells,ElasticNet,3,0,4.421259571554351,6.228581364506806,3.2734309448040295,0.6050532086549715,0.7786726030370758,0.6795610561115482
KenyonCells,ElasticNet,3,1,4.060980967113438,6.3055426490509054,2.595666319168193,0.595242299548628,0.7733438699038322,0.6977372242717489
KenyonCells,ElasticNet,3,2,4.232505624066352,6.390511280441706,3.057083658132581,0.5839960189814395,0.7651676657746634,0.704662897272993
KenyonCells,ElasticNet,3,3,4.099447379760172,6.011705334840091,2.9060472722692534,0.6169105239285564,0.78567983032047,0.7470760753215961
KenyonCells,ElasticNet,3,4,4.059325364012859,6.139070649170102,2.790049647899343,0.5953886606490875,0.7722947389989376,0.7250723481388943
KenyonCells,ElasticNet,4,0,4.054818417045086,6.149315741311178,2.9126613997421176,0.6150415195662475,0.7880668459530238,0.7690038315261953
KenyonCells,ElasticNet,4,1,4.280504584085269,6.669580869136072,2.835220573908143,0.5471574049915906,0.7408761922994568,0.7115485494161582
KenyonCells,ElasticNet,4,2,4.446981106204822,6.663138870760242,3.1908160802087906,0.5477443463772778,0.7404322194623523,0.7068766872138939
KenyonCells,ElasticNet,4,3,4.041770196256555,5.9077404382584735,2.7122354571504044,0.6300460550839857,0.7946420940619017,0.718311261951702
KenyonCells,ElasticNet,4,4,4.018168436439852,6.0787830168027215,3.0358046431117263,0.6032964653483455,0.7777972162029193,0.7073065522301911
KenyonCells,SVR,0,0,3.423154543076532,5.445351321792291,1.884438752195793,0.6981354491152837,0.8381707468715466,0.7692932109816385
KenyonCells,SVR,0,1,3.586519640420156,6.048540271999498,2.1490866451956947,0.6275642706117579,0.7940158657878662,0.7267845789785067
KenyonCells,SVR,0,2,3.466303300640058,5.682638775262528,2.1169836150885866,0.6710526622444054,0.8214936869209308,0.7998942638517746
KenyonCells,SVR,0,3,3.4401060797592438,5.749672311298324,2.122784469704621,0.6495782626820823,0.8173758337437784,0.7997538668816272
KenyonCells,SVR,0,4,3.3771090143698856,5.583666312958519,2.000048966884963,0.665287678506234,0.8223904572509311,0.7443231586832867
KenyonCells,SVR,1,0,3.356983661734686,5.603936762985073,1.9543398754204073,0.6802969661714474,0.8299082994335696,0.7884473042548785
KenyonCells,SVR,1,1,3.6403698808647733,6.145146701331443,2.036497595099349,0.6155722806216228,0.78730569909753,0.7509628541580501
KenyonCells,SVR,1,2,3.454167945641194,5.696381189172465,2.0723200994069906,0.66945974153146,0.8197463585718446,0.7747012788230734
KenyonCells,SVR,1,3,3.3629189401361974,5.679222355706104,1.9586382014230033,0.6581129930360223,0.8132293013392745,0.7726426689134996
KenyonCells,SVR,1,4,3.5420197863866774,5.789889447090393,2.11725992489267,0.6401070578076431,0.8033469758139489,0.7787606591297785
KenyonCells,SVR,2,0,3.4195667551065148,5.800206698684992,2.0509389181081765,0.6575105115479096,0.8141487707517899,0.801420461456512
KenyonCells,SVR,2,1,3.5606861941943033,5.941824750242289,2.117002135260362,0.640590243847645,0.8036476155815799,0.7574268590062032
KenyonCells,SVR,2,2,3.6633388478188054,5.958425749247494,2.1576654754513562,0.6383492761815599,0.8083775226049171,0.7625590253111141
KenyonCells,SVR,2,3,3.2992953238671716,5.457589161887033,1.9120252675859941,0.6842767752381564,0.8302140804947423,0.7745412667808932
KenyonCells,SVR,2,4,3.46232629330729,5.779242772971491,1.9933354978220983,0.6414294111972085,0.8021944712597203,0.7730558562196881
KenyonCells,SVR,3,0,3.555705085689404,5.660840390534639,2.146059907742404,0.6737713298954866,0.8244620283422752,0.7378998639785094
KenyonCells,SVR,3,1,3.4933443293521176,5.802160481644823,2.0410729150785176,0.6572877261843117,0.8161060127060077,0.758909530193537
KenyonCells,SVR,3,2,3.3548703285223884,5.638391446893754,2.030048531821298,0.6761553533426081,0.8288469524384554,0.790615552113646
KenyonCells,SVR,3,3,3.3501277376539966,5.532994310842892,2.094672911117545,0.6754920819697047,0.8269467254987237,0.7946285946300522
KenyonCells,SVR,3,4,3.416431768727674,5.728844300783136,2.1594900321802477,0.6476560446070908,0.8053810027159907,0.7857721995543115
KenyonCells,SVR,4,0,3.3905262361979136,5.7039666880074655,1.9704916155884247,0.6687817434898341,0.8262963661607864,0.8131438143463448
KenyonCells,SVR,4,1,3.6143577408684773,5.94062991877729,2.0419227082497002,0.6407347755113817,0.8023853581866347,0.7661531816349515
KenyonCells,SVR,4,2,3.6721679674094982,6.159210484296109,2.1299589115132536,0.6135650777253974,0.785144262075732,0.7521968130244099
KenyonCells,SVR,4,3,3.3432953970446895,5.4556510003933045,2.0864471087387333,0.6845009819060769,0.8362881688476034,0.7719376703144594
KenyonCells,SVR,4,4,3.3986503980681397,5.72552300961766,2.0953424875971027,0.6480644682203243,0.8091117664855525,0.7789914968162904
KenyonCells,RandomForest,0,0,2.9686153816427394,5.21985458966373,1.6601508236092168,0.722618740594989,0.8571931709382471,0.8223108959984189
KenyonCells,RandomForest,0,1,2.9844599955682347,5.552009060940044,1.5272268683755705,0.6862017499439956,0.8331947058236722,0.815665387976747
KenyonCells,RandomForest,0,2,2.903926049956303,5.7643876433044365,1.425284942200645,0.6615202962644893,0.8135589096986506,0.8573851682348533
KenyonCells,RandomForest,0,3,3.1457157509879217,5.768598083031683,1.694511175558827,0.6472675512235785,0.8057973451159697,0.8308763245418944
KenyonCells,RandomForest,0,4,2.949045841180894,5.379313713071918,1.6725090187590181,0.6893391458657582,0.830887579444081,0.8210671325533004
KenyonCells,RandomForest,1,0,2.8860001943636107,5.297265217410123,1.4908048831972982,0.7143305884207806,0.8484942069672148,0.8421439809071057
KenyonCells,RandomForest,1,1,2.713924292534512,5.1626463877082935,1.5093597228669036,0.7286717938391081,0.8574775187257988,0.8607697586930028
KenyonCells,RandomForest,1,2,3.0281577923832064,5.400608446386269,1.584607910184503,0.702893839000869,0.8428521036048093,0.8261663225612951
KenyonCells,RandomForest,1,3,2.8397966391961615,5.281710235292495,1.5640361475124056,0.7042981828428991,0.8400213642831564,0.8279290592337468
KenyonCells,RandomForest,1,4,3.226074500476373,5.972938416440564,1.5912007858206108,0.61699110406302,0.7871422920004485,0.8054085408703789
KenyonCells,RandomForest,2,0,3.0651138975990095,6.128048473589608,1.424827882960411,0.6176996552375305,0.7861215069494856,0.8791575078335283
KenyonCells,RandomForest,2,1,3.1979577612512866,5.987706704739622,1.593307118149378,0.6350181877333987,0.7974703906267339,0.7899217122613899
KenyonCells,RandomForest,2,2,2.9798371065070497,5.1575517154193,1.7054158493223586,0.7290348375705071,0.8602775874987724,0.8394120567466123
KenyonCells,RandomForest,2,3,2.971953198032604,5.807158864621575,1.4578552286715551,0.6425360377809572,0.8017923081532873,0.8355389773035025
KenyonCells,RandomForest,2,4,2.995373070021227,5.63015543484434,1.6198086194048038,0.6596909043987386,0.8127542867413404,0.8549345618566511
KenyonCells,RandomForest,3,0,2.9644239837678827,5.382375526198746,1.537617895853359,0.7050772357321714,0.8408949073838479,0.7993187173161413
KenyonCells,RandomForest,3,1,2.882563902085576,5.3207496226035795,1.6186468380475727,0.7117987695201591,0.8501397958794926,0.8605246586591995
KenyonCells,RandomForest,3,2,2.9894739644730137,6.068232180195377,1.265159847438374,0.6248968998080531,0.7913204509971429,0.8454795962182673
KenyonCells,RandomForest,3,3,2.954137932946215,5.280892474372439,1.653420033033247,0.7043897420763477,0.8429160730978087,0.8280301445470629
KenyonCells,RandomForest,3,4,2.9909931407406245,5.619073899588305,1.5579899983832357,0.6610292106001441,0.8136927470965227,0.8324684610595744
KenyonCells,RandomForest,4,0,3.1695447405435653,6.003826384187124,1.5974105515195973,0.633041834658751,0.7966780225819952,0.8457075863726496
KenyonCells,RandomForest,4,1,3.117082890953071,5.8310040281674915,1.6370042658493777,0.6538718925260945,0.8094287980214201,0.8426889407302074
KenyonCells,RandomForest,4,2,2.946840527409989,5.563581965803717,1.584351293167396,0.6846918063709596,0.8299584346179167,0.8397956645096943
KenyonCells,RandomForest,4,3,2.6084173154100583,4.777368006132825,1.4713346415775845,0.7580741674267635,0.8771207644051052,0.864275920750895
KenyonCells,RandomForest,4,4,3.0071687297927023,5.4196089602725745,1.6280418758412463,0.6846675308794068,0.8286715788191368,0.8088072666175324
KenyonCells,RandomForest_authors,0,0,4.207922136310909,6.444204231408415,2.123810259891797,0.5772351249767951,0.7672591268544255,0.6217341233662347
KenyonCells,RandomForest_authors,0,1,4.082388926960061,6.638241704736327,2.866636142704878,0.5514030590029393,0.748976632270985,0.5566912221942768
KenyonCells,RandomForest_authors,0,2,4.0863301649241865,6.697928141077079,3.0583097621800657,0.543009425380654,0.7370155699293786,0.5540905657394206
KenyonCells,RandomForest_authors,0,3,4.312609241001365,7.0757356894636265,2.5999745716081133,0.4693012628858074,0.6853367315424359,0.6489045442652216
KenyonCells,RandomForest_authors,0,4,4.068470312138059,6.640008616549399,2.725543169271328,0.5266634150701858,0.7271961637673952,0.601329436438573
KenyonCells,RandomForest_authors,1,0,4.129684587129864,6.5696749946170945,2.459966950021595,0.5606121168403153,0.7513278441884258,0.6586455949914364
KenyonCells,RandomForest_authors,1,1,3.840657663500081,6.125182979496092,2.8913741046880954,0.6180660019885553,0.791280593201763,0.6036834889219901
KenyonCells,RandomForest_authors,1,2,4.185867149040468,6.711905674146725,2.3863795238487358,0.5411000988848287,0.7465817427401554,0.6300885378442566
KenyonCells,RandomForest_authors,1,3,3.8650554626341846,6.153252776140668,2.647624015571666,0.5986582284071388,0.774223821747765,0.666462479816756
KenyonCells,RandomForest_authors,1,4,4.249315642001564,6.996683561007948,3.2225146951989387,0.4744461133014187,0.6895614878698507,0.5271827354682057
KenyonCells,RandomForest_authors,2,0,4.270839462694933,7.380583580803997,2.940364092602434,0.44544872107431777,0.668459053428874,0.542601462003585
KenyonCells,RandomForest_authors,2,1,4.21050434340874,6.953242818891605,2.2067254700614045,0.507818849877431,0.7130152624631743,0.6685200913069032
KenyonCells,RandomForest_authors,2,2,4.165637617788367,6.483921476870939,2.4232029686453145,0.5717456642764143,0.7621647176187353,0.6790902395627896
KenyonCells,RandomForest_authors,2,3,4.306518709558853,7.222962099053346,2.924202481378825,0.4469867680769011,0.669239383070255,0.49986207567998736
KenyonCells,RandomForest_authors,2,4,4.149196538986931,6.6603585318097265,3.093085458003728,0.5237576598823035,0.72569374767478,0.583620487433084
KenyonCells,RandomForest_authors,3,0,3.9370896152017654,6.39813275124832,2.8750926752033794,0.5832584532447982,0.7652158480710634,0.5884359753678611
KenyonCells,RandomForest_authors,3,1,4.064626832168645,6.374847800372637,2.840262557530236,0.586295899229509,0.7723342069539005,0.6353997510782184
KenyonCells,RandomForest_authors,3,2,4.27702458164218,7.157476845161148,2.7038756295626003,0.47814941029372515,0.6929659179448082,0.6497144178865234
KenyonCells,RandomForest_authors,3,3,4.077662168720597,6.334091876423603,2.966441453859311,0.5747213625003931,0.7646743321806876,0.5706060854214688
KenyonCells,RandomForest_authors,3,4,4.057842382434398,6.578104473335292,2.004017639712355,0.535448014595183,0.7335498034048489,0.6647995651615812
KenyonCells,RandomForest_authors,4,0,4.2430699049009295,7.260299999011292,2.9702295917562047,0.4633768078253673,0.680728746165585,0.6686314463701202
KenyonCells,RandomForest_authors,4,1,4.201853629504645,7.129089869868126,2.499255425829868,0.4826096028222775,0.6958160130464283,0.6061659214421262
KenyonCells,RandomForest_authors,4,2,4.358486802130615,7.198248082390376,2.55797947613567,0.47218722740412156,0.6871782549244829,0.6477892498699562
KenyonCells,RandomForest_authors,4,3,3.9217443399488046,5.985786651270313,2.4222641555314706,0.6202066837321335,0.8025092914386437,0.6523072858149835
KenyonCells,RandomForest_authors,4,4,4.2391963108018,6.689542397137032,3.0712853200224606,0.519574989486578,0.7211241624581797,0.5072195883078277
KenyonCells,XGBoost,0,0,2.930685549024993,4.926121246898367,1.5976805686950684,0.7529581677925548,0.8727534822889029,0.8334049582838742
KenyonCells,XGBoost,0,1,2.8178080380342805,5.1097354819199605,1.545125961303711,0.7342048685824409,0.8636915441489343,0.8311421926502781
KenyonCells,XGBoost,0,2,2.796470393724903,5.134044168742044,1.4503154754638672,0.7314992665487692,0.8561317535537726,0.8742420592520622
KenyonCells,XGBoost,0,3,3.058253098385675,5.2754223860167215,1.6354084014892578,0.7050018267815178,0.8409848685665866,0.8114790486129023
KenyonCells,XGBoost,0,4,2.8114251467153677,4.966481639731588,1.6072101593017578,0.7351923935696274,0.8636957160159497,0.8283337832184209
KenyonCells,XGBoost,1,0,2.8220076221347736,5.091715249232896,1.6126303672790527,0.7360701433875063,0.8608158463375797,0.8422472947486622
KenyonCells,XGBoost,1,1,2.9961202623518672,5.141553398217421,1.7434808015823364,0.7308843922274944,0.8602669179572355,0.8036867293689564
KenyonCells,XGBoost,1,2,2.873845742805044,5.079118367158162,1.4036082029342651,0.73721356503891,0.8648206492106965,0.8564871451165361
KenyonCells,XGBoost,1,3,2.8435431366581674,5.202590855140049,1.5903425216674805,0.7130909831815895,0.8452576704473127,0.8352989971316581
KenyonCells,XGBoost,1,4,3.1327328795638794,5.472385485121169,1.7187800407409668,0.6784961693569669,0.8250284673175382,0.8135960995790527
KenyonCells,XGBoost,2,0,2.938757833375252,5.701091008538462,1.4937044978141785,0.6691156295358984,0.8185723009503859,0.8817103531406278
KenyonCells,XGBoost,2,1,2.969158884150123,5.558299677911596,1.554491400718689,0.685490258708321,0.831528478182369,0.804214562635482
KenyonCells,XGBoost,2,2,2.9460307617739185,5.01106507361079,1.6238607168197632,0.7442083518963202,0.8686830045922949,0.8443883890951801
KenyonCells,XGBoost,2,3,2.8852119839739996,5.402921901274907,1.3988134860992432,0.6905701330570986,0.8322932385777149,0.811663223974889
KenyonCells,XGBoost,2,4,2.895251351251052,5.337420543146774,1.4765586853027344,0.6941590507958315,0.8332828685100026,0.8510430659633206
KenyonCells,XGBoost,3,0,2.920421885258085,5.114743705301159,1.588184118270874,0.7336773774312948,0.8571774924347291,0.8090923728981243
KenyonCells,XGBoost,3,1,2.8695673549265943,5.1828117282809005,1.6261322498321533,0.7265480336626207,0.8644481470703569,0.8405299044986451
KenyonCells,XGBoost,3,2,3.0282590537165546,5.523169927267385,1.6533238887786865,0.6892557614611559,0.8323436668514806,0.8159053416466576
KenyonCells,XGBoost,3,3,2.779222064706814,4.7407535214944145,1.5646910667419434,0.7617682706107982,0.8773110578345948,0.845869168718044
KenyonCells,XGBoost,3,4,2.8871599250785227,5.307923629184152,1.5303831100463867,0.6975301309254818,0.8368173886847924,0.8469079983033889
KenyonCells,XGBoost,4,0,3.144710568151551,5.730643223568026,1.5673109292984009,0.6656763896941238,0.8167604083839848,0.8493900109327734
KenyonCells,XGBoost,4,1,3.169992225232387,5.3373303761801285,1.6486862897872925,0.709999760149647,0.843530138041899,0.8107715854287328
KenyonCells,XGBoost,4,2,2.9570701778498725,5.4485341710611594,1.640716314315796,0.697597321863228,0.835644057544841,0.8423727257064342
KenyonCells,XGBoost,4,3,2.7975949195003813,4.710737244255197,1.6596951484680176,0.7647754683979109,0.8802514531463359,0.8110378722872406
KenyonCells,XGBoost,4,4,2.9710643772690832,5.102315518215901,1.6607069969177246,0.720509269099798,0.8521261585400208,0.8098805418942989
OpticLobe,Dummy,0,0,6.912089046231201,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
OpticLobe,Dummy,0,1,6.9128266140254215,10.602124517225352,5.664571877454831,-7.114845653299895e-06,,
OpticLobe,Dummy,0,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
OpticLobe,Dummy,0,3,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,0,4,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,1,0,6.912089046231199,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
OpticLobe,Dummy,1,1,6.9128266140254215,10.602124517225352,5.664571877454831,-7.1148456535219395e-06,,
OpticLobe,Dummy,1,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
OpticLobe,Dummy,1,3,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,1,4,6.936122556276377,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,2,0,6.912089046231199,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
OpticLobe,Dummy,2,1,6.9128266140254215,10.602124517225352,5.664571877454831,-7.1148456535219395e-06,,
OpticLobe,Dummy,2,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
OpticLobe,Dummy,2,3,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,2,4,6.936122556276377,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,3,0,6.912089046231199,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
OpticLobe,Dummy,3,1,6.91282661402542,10.602124517225352,5.664571877454831,-7.1148456535219395e-06,,
OpticLobe,Dummy,3,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
OpticLobe,Dummy,3,3,6.936122556276375,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,3,4,6.936122556276377,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,4,0,6.912089046231201,10.602283617553995,5.6635899450117835,-4.858703614996074e-06,,
OpticLobe,Dummy,4,1,6.9128266140254215,10.602124517225354,5.664571877454831,-7.1148456535219395e-06,,
OpticLobe,Dummy,4,2,6.923929624215302,10.621090852623741,5.658876669285153,-3.418889615858234e-10,,
OpticLobe,Dummy,4,3,6.936122556276377,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,Dummy,4,4,6.936122556276377,10.670015744971348,5.653770620581304,-5.8135070777343145e-06,,
OpticLobe,LinearRegression,0,0,4.188819826416108,6.3344025763753615,2.8795004312469104,0.6430440735623584,0.8033171279859761,0.7472484713132577
OpticLobe,LinearRegression,0,1,4.04088120548786,6.004821925250834,2.9064594193702646,0.679212413182728,0.8242777916611022,0.7357851160124229
OpticLobe,LinearRegression,0,2,4.183843723838183,5.97908173215116,3.0344080228200454,0.6830938022435069,0.8272794735244615,0.7045942709001372
OpticLobe,LinearRegression,0,3,4.23817180071003,6.2269581463221515,2.9583330381422925,0.6594159562429331,0.8122197474057857,0.7305973883454622
OpticLobe,LinearRegression,0,4,4.176730092745656,6.164701238150515,2.9555100111100785,0.6661922062419465,0.8164914493590487,0.7280909175045119
OpticLobe,LinearRegression,1,0,4.2719648766238505,6.303190476282024,2.983871331728931,0.6465531322533178,0.8047804021253321,0.7178155443819626
OpticLobe,LinearRegression,1,1,4.020119153716403,5.921551883360579,2.8411427976142605,0.688047574619086,0.8295708465549299,0.750860522535829
OpticLobe,LinearRegression,1,2,4.232532469804408,6.392745427380344,3.008475984770918,0.6377264948856595,0.8006112568180235,0.7340076359413077
OpticLobe,LinearRegression,1,3,4.2233071052938,6.4898902613676075,2.912036912239188,0.6300465251907684,0.7963643115197819,0.7370230075854194
OpticLobe,LinearRegression,1,4,4.133499435092652,6.031846380714988,3.0126963178865793,0.6804248886217851,0.8252322023163147,0.7192786972893656
OpticLobe,LinearRegression,2,0,4.076963144326858,6.0449243668782335,2.8598930050486864,0.6749239174069778,0.8218529813221858,0.7244086104197291
